,session_starts,treatment,team,handed_out,passed_by,session_within_session,success_rate,day,person,session
0,7.0,1,js,1,4,0,0.25,0,,0.0
1,127.0,1,js,3,11,1,0.2727272727272727,0,,0.0
2,247.0,1,js,5,18,2,0.2777777777777778,0,,0.0
3,367.0,1,js,7,29,3,0.2413793103448276,0,,0.0
4,487.0,1,js,6,17,4,0.3529411764705882,0,,0.0
5,607.0,0,js,0,20,0,0.0,0,,1.0
6,727.0,0,js,6,21,1,0.2857142857142857,0,,1.0
7,847.0,0,js,1,27,2,0.037037037037037,0,,1.0
8,967.0,0,js,5,31,3,0.1612903225806451,0,,1.0
9,1087.0,0,js,3,27,4,0.1111111111111111,0,,1.0
10,1237.0,1,js,1,13,0,0.0769230769230769,0,,2.0
11,1357.0,1,js,6,27,1,0.2222222222222222,0,,2.0
12,1477.0,1,js,5,20,2,0.25,0,,2.0
13,1597.0,1,js,4,19,3,0.2105263157894736,0,,2.0
14,1717.0,1,js,8,20,4,0.4,0,,2.0
15,2090.0,0,js,3,11,0,0.2727272727272727,0,,3.0
16,2210.0,0,js,2,27,1,0.074074074074074,0,,3.0
17,2330.0,0,js,2,25,2,0.08,0,,3.0
18,2450.0,0,js,3,12,3,0.25,0,,3.0
19,2570.0,0,js,6,24,4,0.25,0,,3.0
20,2740.0,1,js,2,7,0,0.2857142857142857,0,,4.0
21,2860.0,1,js,8,23,1,0.3478260869565217,0,,4.0
22,2980.0,1,js,3,8,2,0.375,0,,4.0
23,3100.0,1,js,4,10,3,0.4,0,,4.0
24,3220.0,1,js,1,8,4,0.125,0,,4.0
25,3340.0,0,js,1,1,0,1.0,0,,5.0
26,3460.0,0,js,9,10,1,0.9,0,,5.0
27,3580.0,0,js,1,13,2,0.0769230769230769,0,,5.0
28,3700.0,0,js,3,9,3,0.3333333333333333,0,,5.0
29,3820.0,0,js,4,10,4,0.4,0,,5.0
30,3990.0,1,js,1,8,0,0.125,0,,6.0
31,4110.0,1,js,3,15,1,0.2,0,,6.0
32,4230.0,1,js,4,17,2,0.2352941176470588,0,,6.0
33,4350.0,1,js,5,20,3,0.25,0,,6.0
34,4470.0,1,js,2,4,4,0.5,0,,6.0
35,4540.0,0,js,1,6,0,0.1666666666666666,0,,7.0
36,4660.0,0,js,6,12,1,0.5,0,,7.0
37,4780.0,0,js,6,13,2,0.4615384615384615,0,,7.0
38,4900.0,0,js,3,18,3,0.1666666666666666,0,,7.0
39,5020.0,0,js,1,13,4,0.0769230769230769,0,,7.0
40,7.0,0,vw,0,1,0,0.0,0,,0.0
41,127.0,0,vw,0,4,1,0.0,0,,0.0
42,367.0,0,vw,7,7,3,1.0,0,,0.0
43,487.0,0,vw,5,10,4,0.5,0,,0.0
44,607.0,1,vw,12,16,0,0.75,0,,1.0
45,727.0,1,vw,7,10,1,0.7,0,,1.0
46,847.0,1,vw,15,20,2,0.75,0,,1.0
47,967.0,1,vw,14,15,3,0.9333333333333332,0,,1.0
48,1087.0,1,vw,15,19,4,0.7894736842105263,0,,1.0
49,1237.0,0,vw,12,19,0,0.631578947368421,0,,2.0
50,1357.0,0,vw,9,11,1,0.8181818181818182,0,,2.0
51,1477.0,0,vw,28,32,2,0.875,0,,2.0
52,1597.0,0,vw,8,10,3,0.8,0,,2.0
53,2090.0,1,vw,3,12,0,0.25,0,v,3.0
54,2210.0,1,vw,1,5,1,0.2,0,v,3.0
55,2330.0,1,vw,2,9,2,0.2222222222222222,0,v,3.0
56,2450.0,1,vw,3,13,3,0.2307692307692307,0,v,3.0
57,2570.0,1,vw,2,5,4,0.4,0,v,3.0
58,2740.0,0,vw,1,5,0,0.2,0,v,4.0
59,2860.0,0,vw,1,5,1,0.2,0,v,4.0
60,2980.0,0,vw,2,11,2,0.1818181818181818,0,v,4.0
61,3100.0,0,vw,0,2,3,0.0,0,v,4.0
62,3220.0,0,vw,1,9,4,0.1111111111111111,0,v,4.0
63,3460.0,1,vw,0,5,1,0.0,0,v,5.0
64,3580.0,1,vw,1,2,2,0.5,0,v,5.0
65,3700.0,1,vw,1,2,3,0.5,0,v,5.0
66,3820.0,1,vw,1,8,4,0.125,0,v,5.0
67,3990.0,0,vw,1,2,0,0.5,0,v,6.0
68,4110.0,0,vw,0,4,1,0.0,0,v,6.0
69,4230.0,0,vw,1,5,2,0.2,0,v,6.0
70,4350.0,0,vw,2,8,3,0.25,0,v,6.0
71,4470.0,0,vw,1,4,4,0.25,0,v,6.0
72,4540.0,1,vw,0,4,0,0.0,0,v,7.0
73,4660.0,1,vw,3,9,1,0.3333333333333333,0,v,7.0
74,4780.0,1,vw,1,1,2,1.0,0,v,7.0
75,4900.0,1,vw,1,7,3,0.1428571428571428,0,v,7.0
76,5020.0,1,vw,2,8,4,0.25,0,v,7.0
77,2090.0,1,vw,3,16,0,0.1875,0,w,3
78,2210.0,1,vw,2,18,1,0.1111111111111111,0,w,3
79,2330.0,1,vw,4,14,2,0.2857142857142857,0,w,3
80,2450.0,1,vw,3,8,3,0.375,0,w,3
81,2570.0,1,vw,0,8,4,0.0,0,w,3
82,2740.0,0,vw,2,7,0,0.2857142857142857,0,w,4.0
83,2860.0,0,vw,1,10,1,0.1,0,w,4.0
84,2980.0,0,vw,0,6,2,0.0,0,w,4.0
85,3100.0,0,vw,4,9,3,0.4444444444444444,0,w,4.0
86,3220.0,0,vw,1,3,4,0.3333333333333333,0,w,4.0
87,3340.0,1,vw,0,3,0,0.0,0,w,5.0
88,3460.0,1,vw,1,4,1,0.25,0,w,5.0
89,3580.0,1,vw,3,7,2,0.4285714285714285,0,w,5.0
90,3700.0,1,vw,0,3,3,0.0,0,w,5.0
91,3820.0,1,vw,1,5,4,0.2,0,w,5.0
92,3990.0,0,vw,2,9,0,0.2222222222222222,0,w,6.0
93,4110.0,0,vw,3,8,1,0.375,0,w,6.0
94,4230.0,0,vw,3,7,2,0.4285714285714285,0,w,6.0
95,4350.0,0,vw,3,5,3,0.6,0,w,6.0
96,4470.0,0,vw,3,3,4,1.0,0,w,6.0
97,4660.0,1,vw,2,3,1,0.6666666666666666,0,w,7.0
