count,date,time,team,timestamp,seconds_after_start,success,person,treatment
1,2024-11-01,15:36:37.760,js,2024-11-01 15:36:37.760,97.76,True,,1.0
2,2024-11-01,15:36:48.603,js,2024-11-01 15:36:48.603,108.603,False,,1.0
3,2024-11-01,15:36:48.778,js,2024-11-01 15:36:48.778,108.778,False,,1.0
4,2024-11-01,15:37:05.171,js,2024-11-01 15:37:05.171,125.171,False,,1.0
5,2024-11-01,15:37:12.496,js,2024-11-01 15:37:12.496,132.496,False,,1.0
6,2024-11-01,15:37:14.070,js,2024-11-01 15:37:14.070,134.07,False,,1.0
7,2024-11-01,15:37:27.714,js,2024-11-01 15:37:27.714,147.714,False,,1.0
8,2024-11-01,15:37:34.734,js,2024-11-01 15:37:34.734,154.734,True,,1.0
9,2024-11-01,15:37:40.288,js,2024-11-01 15:37:40.288,160.288,False,,1.0
10,2024-11-01,15:37:40.449,js,2024-11-01 15:37:40.449,160.449,False,,1.0
11,2024-11-01,15:37:40.657,js,2024-11-01 15:37:40.657,160.657,False,,1.0
12,2024-11-01,15:37:42.365,js,2024-11-01 15:37:42.365,162.365,True,,1.0
13,2024-11-01,15:37:42.590,js,2024-11-01 15:37:42.590,162.59,True,,1.0
14,2024-11-01,15:38:34.627,js,2024-11-01 15:38:34.627,214.627,False,,1.0
15,2024-11-01,15:39:06.646,js,2024-11-01 15:39:06.646,246.646,False,,1.0
16,2024-11-01,15:39:21.238,js,2024-11-01 15:39:21.238,261.238,False,,1.0
17,2024-11-01,15:39:21.412,js,2024-11-01 15:39:21.412,261.412,False,,1.0
18,2024-11-01,15:39:21.571,js,2024-11-01 15:39:21.571,261.571,False,,1.0
19,2024-11-01,15:39:31.230,js,2024-11-01 15:39:31.230,271.23,False,,1.0
20,2024-11-01,15:39:36.421,js,2024-11-01 15:39:36.421,276.421,False,,1.0
21,2024-11-01,15:39:36.579,js,2024-11-01 15:39:36.579,276.579,False,,1.0
22,2024-11-01,15:39:55.522,js,2024-11-01 15:39:55.522,295.522,False,,1.0
23,2024-11-01,15:39:55.847,js,2024-11-01 15:39:55.847,295.847,False,,1.0
24,2024-11-01,15:39:56.022,js,2024-11-01 15:39:56.022,296.022,False,,1.0
25,2024-11-01,15:40:16.725,js,2024-11-01 15:40:16.725,316.725,True,,1.0
26,2024-11-01,15:40:16.873,js,2024-11-01 15:40:16.873,316.873,False,,1.0
27,2024-11-01,15:40:17.023,js,2024-11-01 15:40:17.023,317.023,False,,1.0
28,2024-11-01,15:40:17.487,js,2024-11-01 15:40:17.487,317.487,False,,1.0
29,2024-11-01,15:40:17.929,js,2024-11-01 15:40:17.929,317.929,True,,1.0
30,2024-11-01,15:40:29.664,js,2024-11-01 15:40:29.664,329.664,False,,1.0
31,2024-11-01,15:40:41.763,js,2024-11-01 15:40:41.763,341.763,True,,1.0
32,2024-11-01,15:40:43.088,js,2024-11-01 15:40:43.088,343.088,True,,1.0
33,2024-11-01,15:40:50.043,js,2024-11-01 15:40:50.043,350.043,False,,1.0
34,2024-11-01,15:41:07.291,js,2024-11-01 15:41:07.291,367.291,True,,1.0
35,2024-11-01,15:41:23.611,js,2024-11-01 15:41:23.611,383.611,True,,1.0
36,2024-11-01,15:41:31.546,js,2024-11-01 15:41:31.546,391.546,True,,1.0
37,2024-11-01,15:41:46.558,js,2024-11-01 15:41:46.558,406.558,True,,1.0
38,2024-11-01,15:41:47.514,js,2024-11-01 15:41:47.514,407.514,False,,1.0
39,2024-11-01,15:41:48.072,js,2024-11-01 15:41:48.072,408.072,False,,1.0
40,2024-11-01,15:41:48.298,js,2024-11-01 15:41:48.298,408.298,False,,1.0
41,2024-11-01,15:41:48.506,js,2024-11-01 15:41:48.506,408.506,False,,1.0
42,2024-11-01,15:41:48.880,js,2024-11-01 15:41:48.880,408.88,True,,1.0
43,2024-11-01,15:41:54.131,js,2024-11-01 15:41:54.131,414.131,False,,1.0
44,2024-11-01,15:41:56.089,js,2024-11-01 15:41:56.089,416.089,False,,1.0
45,2024-11-01,15:42:02.882,js,2024-11-01 15:42:02.882,422.882,True,,1.0
46,2024-11-01,15:42:07.090,js,2024-11-01 15:42:07.090,427.09,False,,1.0
47,2024-11-01,15:42:07.299,js,2024-11-01 15:42:07.299,427.299,False,,1.0
48,2024-11-01,15:42:25.110,js,2024-11-01 15:42:25.110,445.11,False,,1.0
49,2024-11-01,15:42:25.375,js,2024-11-01 15:42:25.375,445.375,False,,1.0
50,2024-11-01,15:42:25.634,js,2024-11-01 15:42:25.634,445.634,False,,1.0
51,2024-11-01,15:42:25.925,js,2024-11-01 15:42:25.925,445.925,False,,1.0
52,2024-11-01,15:42:34.236,js,2024-11-01 15:42:34.236,454.236,False,,1.0
53,2024-11-01,15:42:44.069,js,2024-11-01 15:42:44.069,464.069,True,,1.0
54,2024-11-01,15:42:47.215,js,2024-11-01 15:42:47.215,467.215,False,,1.0
55,2024-11-01,15:42:47.557,js,2024-11-01 15:42:47.557,467.557,False,,1.0
56,2024-11-01,15:42:47.915,js,2024-11-01 15:42:47.915,467.915,False,,1.0
57,2024-11-01,15:42:48.090,js,2024-11-01 15:42:48.090,468.09,False,,1.0
58,2024-11-01,15:42:48.267,js,2024-11-01 15:42:48.267,468.267,False,,1.0
