session_starts,treatment,team,handed_out,passed_by,session_within_session,success_rate
97.0,1,js,1,4,3,0.25
127.0,1,js,1,4,4,0.25
157.0,1,js,2,5,5,0.4
187.0,1,js,0,1,6,0.0
217.0,1,js,0,1,7,0.0
247.0,1,js,0,6,8,0.0
277.0,1,js,0,3,9,0.0
307.0,1,js,2,6,10,0.3333333333333333
337.0,1,js,3,3,11,1.0
367.0,1,js,2,3,12,0.6666666666666666
397.0,1,js,3,9,13,0.3333333333333333
427.0,1,js,0,7,14,0.0
457.0,1,js,2,10,15,0.2
487.0,1,js,3,7,16,0.42857142857142855
517.0,1,js,2,4,17,0.5
547.0,1,js,1,4,18,0.25
577.0,1,js,0,2,19,0.0
637.0,0,js,0,4,1,0.0
667.0,0,js,0,9,2,0.0
697.0,0,js,0,7,3,0.0
727.0,0,js,3,11,4,0.2727272727272727
757.0,0,js,2,5,5,0.4
787.0,0,js,1,2,6,0.5
817.0,0,js,0,3,7,0.0
847.0,0,js,0,2,8,0.0
877.0,0,js,0,6,9,0.0
907.0,0,js,0,2,10,0.0
937.0,0,js,1,17,11,0.058823529411764705
967.0,0,js,1,7,12,0.14285714285714285
997.0,0,js,2,9,13,0.2222222222222222
1027.0,0,js,1,9,14,0.1111111111111111
1057.0,0,js,1,6,15,0.16666666666666666
1087.0,0,js,1,4,16,0.25
1117.0,0,js,0,3,17,0.0
1147.0,0,js,2,15,18,0.13333333333333333
1177.0,0,js,0,5,19,0.0
1267.0,1,js,0,1,1,0.0
1297.0,1,js,1,5,2,0.2
1327.0,1,js,0,7,3,0.0
1357.0,1,js,2,9,4,0.2222222222222222
1387.0,1,js,1,8,5,0.125
1417.0,1,js,1,5,6,0.2
1447.0,1,js,2,5,7,0.4
1477.0,1,js,2,8,8,0.25
1507.0,1,js,2,2,9,1.0
1537.0,1,js,0,1,10,0.0
1567.0,1,js,1,9,11,0.1111111111111111
1597.0,1,js,2,5,12,0.4
1627.0,1,js,1,6,13,0.16666666666666666
1657.0,1,js,0,3,14,0.0
1687.0,1,js,1,5,15,0.2
1717.0,1,js,5,5,16,1.0
1747.0,1,js,1,11,17,0.09090909090909091
1777.0,1,js,2,4,18,0.5
2150.0,0,js,1,4,2,0.25
2180.0,0,js,2,7,3,0.2857142857142857
2210.0,0,js,0,6,4,0.0
2240.0,0,js,1,7,5,0.14285714285714285
2270.0,0,js,0,5,6,0.0
2300.0,0,js,1,9,7,0.1111111111111111
2330.0,0,js,0,8,8,0.0
2360.0,0,js,0,3,9,0.0
2390.0,0,js,0,4,10,0.0
2420.0,0,js,2,10,11,0.2
2450.0,0,js,1,2,12,0.5
2480.0,0,js,0,3,13,0.0
2510.0,0,js,1,3,14,0.3333333333333333
2540.0,0,js,1,4,15,0.25
2570.0,0,js,1,3,16,0.3333333333333333
2600.0,0,js,1,4,17,0.25
2630.0,0,js,1,4,18,0.25
2660.0,0,js,3,13,19,0.23076923076923078
2800.0,1,js,0,1,2,0.0
2830.0,1,js,2,6,3,0.3333333333333333
2860.0,1,js,1,9,4,0.1111111111111111
2890.0,1,js,1,3,5,0.3333333333333333
2920.0,1,js,5,5,6,1.0
2950.0,1,js,1,6,7,0.16666666666666666
