session_starts,treatment,team,handed_out,passed_by,session_within_session,success_rate
7,1,js,22,79,0,0.27848101265822783
607,0,js,15,126,0,0.11904761904761904
1237,1,js,24,99,0,0.24242424242424243
2090,0,js,16,99,0,0.16161616161616163
2740,1,js,18,56,0,0.32142857142857145
3340,0,js,18,43,0,0.4186046511627907
3990,1,js,15,64,0,0.234375
4540,0,js,17,62,0,0.27419354838709675
7,0,vw,12,22,0,0.5454545454545454
607,1,vw,63,80,0,0.7875
1237,0,vw,57,72,0,0.7916666666666666
2090,1,v,11,44,0,0.25
2740,0,v,5,32,0,0.15625
3340,1,v,3,17,0,0.17647058823529413
3990,0,v,5,23,0,0.21739130434782608
4540,1,v,7,29,0,0.2413793103448276
2090,1,w,12,64,0,0.1875
2740,0,w,8,35,0,0.22857142857142856
3340,1,w,5,22,0,0.22727272727272727
3990,0,w,14,32,0,0.4375
4540,1,w,7,39,0,0.1794871794871795
